Sample,Vector,Kanamycin_Resistance,GUS_Staining
34,pCAMBIA2301,1,1
35,pCAMBIA2301,1,1
36,pCAMBIA2301,1,0
37,pCAMBIA2301,1,0
38,pCAMBIA2301,1,1
39,pCAMBIA2301,1,1
40,pCAMBIA2301,1,1
41,pCAMBIA2301,1,1
42,pCAMBIA2301,1,1
43,pCAMBIA2301,1,1
44,pCAMBIA2301,1,1
45,pCAMBIA2301,1,1
46,pCAMBIA2301,1,1
47,pCAMBIA2301,1,1
48,pCAMBIA2301,1,1
49,pCAMBIA2301,1,1
50,pCAMBIA2301,1,1
51,pCAMBIA2301,1,1
52,pCAMBIA2301,1,1
53,pCAMBIA2301,1,0
54,pCAMBIA2301,1,1
55,pCAMBIA2301,1,1
56,pCAMBIA2301,1,1
57,pCAMBIA2301,1,0
58,pCAMBIA2301,1,1
59,pCAMBIA2301,1,1
60,pCAMBIA2301,1,1
61,pCAMBIA2301,1,1
62,pCAMBIA2301,1,1
63,pCAMBIA2301,0,1
64,pCAMBIA2301,1,1
65,pCAMBIA2301,1,1
66,pCAMBIA2301,1,1
67,pCAMBIA2301,1,1
68,pCAMBIA2301,1,1
69,pCAMBIA2301,1,1
70,pCAMBIA2301,1,1
71,pCAMBIA2301,1,1
72,pCAMBIA2301,1,1
73,pCAMBIA2301,1,1
74,pCAMBIA2301,1,1
75,pCAMBIA2301,1,1
76,pCAMBIA2301,1,0
77,pCAMBIA2301,1,1
78,pCAMBIA2301,1,1
79,pCAMBIA2301,1,1
80,pCAMBIA2301,0,1
81,pCAMBIA2301,1,1
82,pCAMBIA2301,1,1
83,pCAMBIA2301,0,1
84,pCAMBIA2301,0,0
85,pCAMBIA2301,1,1
86,pCAMBIA2301,1,1
87,pCAMBIA2301,1,1
88,pCAMBIA2301,1,1
89,pCAMBIA2301,1,1
90,pCAMBIA2301,1,1
91,pCAMBIA2301,1,1
92,pCAMBIA2301,1,0
93,pCAMBIA2301,1,0
94,pCAMBIA2301,1,1
95,pCAMBIA2301,1,0
96,pCAMBIA2301,0,1
97,pCAMBIA2301,1,1
98,pCAMBIA2301,1,0
99,pCAMBIA2301,1,1
100,pCAMBIA2301,1,1
1,Non-Transformed,0,0
2,Non-Transformed,0,0
3,Non-Transformed,0,0
4,Non-Transformed,0,0
5,Non-Transformed,0,0
6,Non-Transformed,0,0
7,Non-Transformed,1,0
8,Non-Transformed,0,0
9,Non-Transformed,0,0
10,Non-Transformed,0,0
11,Non-Transformed,0,0
12,Non-Transformed,0,0
13,Non-Transformed,0,0
14,Non-Transformed,0,0
15,Non-Transformed,0,0
16,Non-Transformed,0,0
17,Non-Transformed,0,0
18,Non-Transformed,0,0
19,Non-Transformed,0,0
20,Non-Transformed,0,0
21,Non-Transformed,0,1
22,Non-Transformed,0,0
23,Non-Transformed,0,0
24,Non-Transformed,1,0
25,Non-Transformed,0,0
26,Non-Transformed,0,0
27,Non-Transformed,0,0
28,Non-Transformed,0,0
29,Non-Transformed,0,0
30,Non-Transformed,0,0
31,Non-Transformed,0,0
32,Non-Transformed,0,0
33,Non-Transformed,1,0
34,Non-Transformed,0,0
35,Non-Transformed,0,0
36,Non-Transformed,0,0
37,Non-Transformed,0,0
38,Non-Transformed,0,1
39,Non-Transformed,0,0
40,Non-Transformed,1,0
41,Non-Transformed,0,0
42,Non-Transformed,0,0
43,Non-Transformed,0,0
44,Non-Transformed,0,0
45,Non-Transformed,1,0
46,Non-Transformed,0,0
47,Non-Transformed,0,0
48,Non-Transformed,0,0
49,Non-Transformed,0,0
50,Non-Transformed,1,1
51,Non-Transformed,0,0
52,Non-Transformed,0,0
53,Non-Transformed,0,0
54,Non-Transformed,0,0
55,Non-Transformed,0,0
56,Non-Transformed,0,0
57,Non-Transformed,0,0
58,Non-Transformed,0,0
59,Non-Transformed,0,0
60,Non-Transformed,1,0
61,Non-Transformed,0,0
62,Non-Transformed,1,0
63,Non-Transformed,0,0
64,Non-Transformed,0,0
65,Non-Transformed,0,0
66,Non-Transformed,0,1
67,Non-Transformed,1,0
68,Non-Transformed,0,0
69,Non-Transformed,0,0
70,Non-Transformed,0,0
71,Non-Transformed,1,0
72,Non-Transformed,0,0
73,Non-Transformed,0,0
74,Non-Transformed,0,0
75,Non-Transformed,0,0
76,Non-Transformed,0,0
77,Non-Transformed,0,0
78,Non-Transformed,0,0
79,Non-Transformed,0,0
80,Non-Transformed,0,0
81,Non-Transformed,0,0
82,Non-Transformed,0,0
83,Non-Transformed,0,0
84,Non-Transformed,0,0
85,Non-Transformed,0,0
86,Non-Transformed,0,0
87,Non-Transformed,0,0
88,Non-Transformed,0,0
89,Non-Transformed,0,0
90,Non-Transformed,0,0
91,Non-Transformed,0,1
92,Non-Transformed,0,0
93,Non-Transformed,0,0
94,Non-Transformed,0,0
95,Non-Transformed,0,0
96,Non-Transformed,0,0
97,Non-Transformed,0,0
98,Non-Transformed,0,0
99,Non-Transformed,0,0
100,Non-Transformed,0,0
